甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
5一班共有50名同学，会游泳的有27人，会演奏乐器的有18人，这两样都不会的有15人．既会游泳又会演奏乐器的有多少人？	27+18-(50-15)=10.0	{5一班, 50名同学, 游泳, 27人, 演奏乐器, 18人, 这两样都不会, 15人, 既会游泳又会演奏乐器}
抄写一份材料，王老师单独抄要(1/2)小时抄完；李老师单独抄要(1/3)小时抄完．如果王老师和李老师一起抄，多长时间能抄完？	1/(1/(1/2)+1/(1/3))=0.2	{抄写, 材料, 王老师, (1/2)小时, 李老师, (1/3)小时, 一起抄, 多长时间, 能抄完}
一盘苹果吃了它的(2/5)，剩下的是这盘苹果的多少．	1-(2/5)=0.6	{苹果, 吃了, 2/5, 剩下, 多少}
一批水果500千克，含水率90%，一星期后含水率为80%，这批水果现在重多少千克？	500*(1-90%)/(1-80%)=250.0	{水果, 500千克, 含水率, 90%, 一星期后, 80%, 现在, 重量}
李冬看一本故事书，第一天看了全书的(1/12)还少5页，第二天看了全书的(1/15)还多3页，还剩206页．这本故事书有多少页？	(206-5+3)/(1-(1/12)-(1/15))=240.0	{李冬, 故事书, 第一天, 全书, (1/12), 少5页, 第二天, (1/15), 多3页, 剩206页}
有一袋米，第一周吃了(2/5)，第二周吃了12千克，还剩6千克．这袋米原有多少千克？	(12+6)/(1-(2/5))=30.0	{米，第一周，吃了，2/5，第二周，12千克，还剩，6千克，原有，千克}
小丽带80元到书店买书，刚巧碰上书店促销，《百科知识》丛书打0.75，只售18.4元/本．小丽买了一套4本的《百科知识》丛书，又剩下的钱买了2个笔记本，每个笔记本多少元？	(80-18.4*4)/2=3.2	{小丽, 80元, 书店, 买书, 促销, 百科知识, 丛书, 0.75, 18.4元/本, 一套, 4本, 剩下的钱, 2个, 笔记本}
原价88元一本的词典0.8出售，售价=．	88*0.8=70.4	{原价, 88元, 一本, 词典, 0.8, 出售, 售价}
正方体A的棱长是2厘米，正方体B的棱长是4厘米，正方体A的体积是正方体B体积的百分之几？	(2*2*2)/(4*4*4)=0.125	{正方体A, 棱长, 2厘米, 正方体B, 棱长, 4厘米, 体积, 百分之几}
一个平行四边形的面积是40平方厘米，高是5厘米，底=多少厘米．	40/5=8.0	{平行四边形, 面积, 40平方厘米, 高, 5厘米, 底}
一部手机原价2000元，活动期间按0.8销售，降价多少元？	2000-2000*0.8=400.0	{手机, 原价, 2000元, 活动期间, 0.8, 销售, 降价}
学具厂要生产1350套学具，已经生产了860套，剩下的要在7天完成，平均每天生产多少套？	(1350-860)/7=70.0	{学具厂, 生产, 1350套, 学具, 已经, 860套, 剩下, 7天, 完成, 平均, 每天, 生产}
围巾按20%的利润标价，售价为240元，那么围巾的成本价=多少元？	240/(1+20%)=200.0	{围巾, 20%, 利润, 标价, 售价, 240元, 成本价}
小李的袜子筐里有12只脏袜子和20只干净袜子．这天，他迷迷糊糊地从筐中拿袜子，每次拿两只．如果其中有脏袜子就会把两只都扔到地上，然后从筐中重拿．那么，他至少拿多少次才能保证一定拿到两只干净的袜子．	12+1=13.0	{小李, 袜子筐, 12只, 脏袜子, 20只, 干净袜子, 拿袜子, 每次拿两只, 脏袜子, 扔到地上, 重拿, 至少, 拿, 次数, 保证, 两只, 干净袜子}
师徒两人6天生产了894个零件．师傅每天生产81个，徒弟每天生产多少个？	894/6-81=68.0	{师徒, 两人, 6天, 生产, 894个, 零件, 师傅, 每天, 81个, 徒弟}
王老师拿200元钱为班级买图书，买了13本，不同的童话故事书，找回5元钱，平均每本童话故事书多少钱？	(200-5)/13=15.0	{王老师, 200元, 班级, 买, 图书, 13本, 不同, 童话故事书, 找回, 5元, 平均, 每本}
把一个数扩大为原来的34倍后是20.4，求这个数．	20.4/34=0.6	{扩大, 34倍, 20.4, 数}
王师傅上月完成生产任务的102%，其中上半月完成计划的65%，则下半月完成计划的百分之几？	102%-65%=0.37	{王师傅, 上月, 生产任务, 102%, 上半月, 完成, 计划, 65%, 下半月, 百分之几}
一辆旅游大巴和一辆轿车同时从上海出发，沿沪宁高速公路开往南京．3小时后，轿车行驶了330千米，旅游大巴行驶了300千米，旅游大巴平均每小时比轿车少行驶多少千米？	330/3-300/3=10.0	{旅游大巴, 轿车, 上海, 出发, 沪宁高速公路, 南京, 3小时, 行驶, 330千米, 300千米, 平均每小时, 少行驶, 千米}
田径队有男生16人，比女生的(5/6)多6人，这个田径队共有学生多少人？	16+(16-6)/(5/6)=28.0	{田径队, 男生, 16人, 女生, 5/6, 多6人, 共有, 学生}
一列火车每小时行驶80千米，(24/5)小时到达目的地．如果这列火车提速(1/5)，那么只需要几小时就能到达目的地？	(80*(24/5))/(80*(1+(1/5)))=4.0	{火车, 每小时, 行驶, 80千米, 24/5小时, 目的地, 提速, 1/5, 小时}
兰兰正在读一本科技书，第一周读了90页，还剩这本书的(1/3)没有读．这本科技书一共有多少页？	90/(1-(1/3))=135.0	{兰兰, 读, 科技书, 第一周, 90页, 剩, (1/3), 没有读, 页}
一个圆柱侧面展开是一个正方形，这个圆柱的底面直径是4厘米，高=？	3.14*4=12.56	{圆柱, 展开正方形, 底面直径, 4厘米, 高}
植树节上五年级植树120棵，六年级比五年级多植40%．两个年级一共植树多少棵？	120*(1+40%+1)=288.0	{植树节, 五年级, 120棵, 六年级, 多植, 40%, 两个年级, 一共, 植树, 多少棵}
一个花房里，玫瑰比水仙数量少20%，水仙有80盆，玫瑰有多少盆？	80*(1-20%)=64.0	{花房, 玫瑰, 水仙, 数量, 少20%, 80盆, 有}
学校举办运动会，6（1）班参加比赛的女生占全班人数的(1/7)，参加比赛的男生占全班人数的(1/4)，参加比赛的女生比男生少6人．这个班参加比赛的女生有多少人？	6/((1/4)-(1/7))*(1/7)=8.0	{学校，运动会，6（1）班，女生，全班人数，1/7，男生，1/4，少6人，参加比赛，有多少人}
明明说“我每分钟大约打41个字”，5分钟能打多少个字？	41*5=205.0	{明明, 每分钟, 打, 41个字, 5分钟, 多少个字}
快车和慢车同时从东、西两地相对开出．已知快车每小时行40千米，经过3小时后，快车已驶过中点25千米，这时与慢车还相距7千米．慢车每小时行多少千米．	(40*3-25-25-7)/3=21.0	{快车, 慢车, 东, 西, 相对, 开出, 每小时, 40千米, 经过, 3小时, 驶过, 中点, 25千米, 相距, 7千米, 慢车, 每小时, 行, 千米}
一件上衣打0.7后，售价是280元．这件上衣的原价=多少元？	280/0.7=400.0	{一件上衣, 打, 0.7, 售价, 280元, 原价}
唐浩的爸爸把10000元人民币存入银行，定期3年，年利率是3.7%．到期时，唐浩的爸爸应得本金和利息一共多少元？	10000+10000*3.7%*3=11110.0	{唐浩, 爸爸, 10000元, 人民币, 存入, 银行, 定期, 3年, 年利率, 3.7%, 到期, 本金, 利息}
修一条公路，8天修了这条路的(8/15)，照这样计算，修完这条路共需多少天？	1/((8/15)/8)=15.0	{修, 公路, 8天, 8/15, 修完, 共需, 多少天}
一辆汽车往山区送货，每小时行42千米，(6/7)小时到达．原路返回时只用了(3/4)小时，返回时平均每小时行多少千米？	42*(6/7)/(3/4)=48.0	{汽车, 送货, 山区, 每小时, 42千米, 6/7小时, 原路返回, 3/4小时, 返回, 平均, 每小时, 行, 千米}
20个同学排成队做操，小红前面有11人，小红的后面还有多少人．	20-11-1=8.0	{20, 同学, 排队, 做操, 小红, 前面, 11, 人, 后面, 多少}
书店运来一批书，第一天卖了30%，第二天卖的相当于第一天卖的120%，比第一天多卖30本．这批书共多少本？	30/(30%*120%-30%)=500.0	{书店, 运来, 一批书, 第一天, 卖了, 30%, 第二天, 相当于, 第一天, 卖的, 120%, 比, 第一天, 多卖, 30本, 这批书, 共, 多少本}
渔沟中心小学三年级有5个班，每班都是52人．如果每人都从图书馆借2本书，这个年级的学生一共借书多少本？	52*5*2=520.0	{渔沟中心小学, 三年级, 5个班, 每班, 52人, 每人, 借2本书, 借书, 多少本}
小明织一条120厘米长的围巾，第一天织了全长(1/5)，第二天织了全长的25%．还剩下多少厘米没有织？	120*(1-(1/5)-25%)=66.0	{小明, 织, 120厘米, 长, 围巾, 第一天, 第二天, 全长, 1/5, 25%, 剩下, 厘米, 没有, 织}
一列火车(3/4)小时行90千米，照这样计算，还要行3小时才能到乙地，甲、乙两地铁路长多少千米？	90/(3/4)*3+90=450.0	{火车, 3/4, 小时, 90, 千米, 计算乙地, 3, 小时, 甲地, 乙地, 铁路, 长度}
小华从学校步行回家要20分，骑自行车回家要10分．小华步行每分走45米，他骑自行车每分行多少米？	45*20/10=90.0	{小华, 学校, 步行,回家, 20分, 骑自行车, 10分, 45米, 每分, 行多少米}
甲、乙两地相距480千米．大货车和客车同时从甲、乙两地相对开出，4小时后两车相遇，大货车每小时行45千米，客车每小时行多少千米？	480/4-45=75.0	{甲, 乙, 两地, 相距, 480千米, 大货车, 客车, 同时, 相对, 开出, 4小时, 两车, 相遇, 每小时, 行, 45千米}
已知甲、乙两数的商及差都等于5，那么甲、乙两数的和=．	5/(5-1)*(5+1)=7.5	{甲, 乙, 两数, 商, 差, 等于, 5, 和}
在一幅条形统计图中，用0.5厘米长的直条表示5吨，用多少厘米长的直条表示28吨．	28/5*0.5=2.8	{条形统计图, 0.5厘米, 直条, 5吨, 厘米, 28吨}
一个服装厂做一套服装原来需要3.8米布料，改进方法后，每套衣服只需3.6米布料．原来准备做180套服装的布料，现在可以做服装多少套？	3.8*180/3.6=190.0	{服装厂, 布料, 3.8米, 改进方法, 3.6米, 180套, 服装}
5吨的(1/3)与1吨的((())/(()))一样重．	5*(1/3)/1=1.6666666666666667	{5吨, (1/3), 1吨, ((())/(())), 一样重}
工厂要加工1200个零件，计划20天完成，实际3天就完成了20%，照这样计算，可提前几天完成任务？	20-3*(1/20%)=5.0	{工厂, 加工, 1200个零件, 20天, 完成, 实际, 3天, 20%, 提前, 任务}
果园里有桃树8行，每行14棵，移走一些后，还有82棵．移走了多少棵？	8*14-82=30.0	{果园, 桃树, 8行, 每行, 14棵, 移走, 82棵, 移走了, 多少棵}
师徒两人合做一批零件，徒弟做了总数(2/7)，比师傅少做21个，这批零件有多少个？	21/(1-(2/7)-(2/7))=49.0	{师徒, 两人, 合做, 一批, 零件, 徒弟, 总数, 2/7, 比师傅, 少做, 21个}
56名少先队员参加学校劳动，其中(3/7)的人打扫礼堂，剩下的队员中(3/8)的人打扫操场，再剩下的(1/4)打扫教室，其余的人负责打扫室外空地，问打扫空地的有多少人？	56*((1-(3/7))*(1-(3/8))*(1-(1/4)))=15.0	{少先队员，学校劳动，(3/7)，礼堂，剩下的，(3/8)，操场，(1/4)，教室，其余，打扫，空地，多少人}
某工厂下半年用煤240.5吨，比上半年多用24.36吨，这个工厂全年共用煤多少吨？	240.5-24.36+240.5=456.64	{工厂、下半年、用煤、240.5吨、比上半年、多用、24.36吨、全年、共用煤}
把一个长14分米，宽5分米的长方形拉成一个平行四边形，面积减少28dm^2，拉成的平行四边形的高=多少分米．	(14*5-28)/14=3.0	{长14分米, 宽5分米, 长方形, 拉成, 平行四边形, 面积减少28dm^2, 高}
图书室有少儿读物280本，借给8个班，每班25本，还剩多少本？	280-25*8=80.0	{图书室, 少儿读物, 280本, 借给, 8个班, 每班, 25本, 还剩}
李林去年9月1日在银行定期存款2000元，按年利率2.25%计算，一年到期后可得税后利息多少元？（利息税率20%）	2000*2.25%*1*(1-20%)=36.0	{李林，去年9月1日，银行，定期存款，2000元，年利率，2.25%，一年，到期，税后利息，利息税率，20%}
一个足球150元，一个篮球120元，学校各买了8个足球和篮球，买足球比买篮球多用了多少元？	150*8-120*8=240.0	{足球, 150元, 篮球, 120元, 学校, 8个, 买, 多用}
鸡比鸭少210只，鸡的只数和鸭的只数比是2：5．鸭有多少只？	210/(5-2)*5=350.0	{鸡，比，鸭，少，210只，鸡的只数，鸭的只数，比，2：5，鸭，有}
港华天然气公司在进行管道施工中，实际铺设管道1200米，比计划多铺20%，港华天然气公司计划铺设管道多少米？	1200/(1+20%)=1000.0	{港华天然气公司, 管道施工, 铺设管道, 1200米, 20%, 计划}
长安小学有一块长方形花圃，长8米．在修建校园时，花圃的长增加了3米，这样花圃的面积就增加了18平方米．花圃原来=多少平方米？	8*(18/3)=48.0	{长安小学, 长方形花圃, 长, 8米, 修建校园, 增加, 3米, 面积, 18平方米, 花圃原来}
一条绳子剪掉它的(1/5)，再接上40米，结果正好与原来一样长．这条绳子原来长多少米．	40/(1/5)=200.0	{绳子, 剪掉, 1/5, 接上, 40米, 结果, 原来一样长, 原来长}
6000/59与35的差，商=？	6000/(59-35)=250.0	{6000/59, 差, 35, 商}
昆明到玉溪的公路长96千米，一辆客车行驶到全程的(5/8)处，已经行驶了多少千米？	96*(5/8)=60.0	{昆明, 玉溪, 公路, 96千米, 客车, 行驶, 全程, (5/8), 千米}
一堆煤用去了20.96吨，余下的是用去的25%．这一堆煤共重多少吨？	20.96*25%+20.96=26.2	{一堆煤, 用去了, 20.96吨, 余下, 25%, 共重, 多少吨}
甲、乙两车从相距690千米的两城相向而行，甲车每小时行60千米，甲车先行1小时后乙车才出发．乙车每小时行80千米，甲车开出几小时后与乙车相遇？	(690-60*1)/(60+80)+1=5.5	{甲, 乙, 两车, 相距, 690千米, 相向而行, 甲车, 每小时, 行60千米, 先行, 1小时, 乙车, 出发, 乙车, 每小时, 行80千米, 相遇}
一件工作，甲4小时可以完成它的(1/6)，那么甲完成这件工作需多少小时．	4/(1/6)=24.0	{工作，甲，4小时，1/6，完成，小时}
学校运来(2/5)吨水泥，运来的黄沙比水泥的2倍还多(1/8)吨，运来黄沙多少吨？	(2/5)*2+(1/8)=0.925	{学校, 运来, (2/5)吨, 水泥, 黄沙, 比水泥, 2倍, (1/8)吨}
王老师买体育用品，买篮球用去75元，买羽毛球拍用去55元，付给营业员200元．应该找回多少元？	200-(75+55)=70.0	{王老师，买，体育用品，篮球，75元，羽毛球拍，55元，付，营业员，200元，找回}
水果店有35筐橘子、55筐梨，苹果的筐数是橘子和梨的总数的(1/2)，苹果有几筐？	(35+55)*(1/2)=45.0	{水果店, 35筐, 橘子, 55筐, 梨, 苹果, 筐数, 橘子, 梨, 总数, (1/2)}
一个数的(3/4)是24，这个数的(3/8)=．	24/(3/4)*(3/8)=12.0	{一个数, 3/4, 24, 这个数, 3/8}
一只麻雀的体重是81克，恰好是蜂鸟的40倍．一只蜂鸟重多少克？	81/40=2.025	{一只, 麻雀, 体重, 81克, 恰好, 蜂鸟, 40倍, 一只蜂鸟, 重}
既不是质数也不是合数的数是0.1的多少倍．	1/0.1=10.0	{既不是质数, 也不是合数, 数, 0.1, 倍}
小雅读一本名著，第一天读了一部分后，已读的页数与未读页数的比是5：7，第二天又读了92页，这时已读的页数是未读页数的4倍．第一天读了多少页？	92/(((4)/(1+4))-((5)/(5+7)))*((4)/(1+4))=192.0	{小雅, 名著, 第一天, 已读页数, 未读页数, 5:7, 比是, 第二天, 读了, 92页, 4倍, 第一天读了, 多少页}
尚老师买了25筒乒乓球，每筒6个．购买乒乓球花了300元钱，每个乒乓球多少钱？	300/(25*6)=2.0	{尚老师, 买了, 25筒, 乒乓球, 每筒, 6个, 花了, 300元, 钱, 每个多少钱}
一桶油，用去25%，正好用去了7千克，则这桶油原来有多少千克．	7/25%=28.0	{一桶油，25%，7千克，原来有多少千克}
将0.72不改变小数的大小而改成3位小数=，这是根据小数的多少改变的．	0.72=0.72	{0.72, 3位小数, 改变, 小数, 大小}
商店有黄气球38个，红气球25个，花气球比黄气球与红气球的总数少19个，花气球有多少个？	38+25-19=44.0	{商店、黄气球、38个、红气球、25个、花气球、总数、少、19个}
育红小学六年级参加田径比赛的人数有48人，比参加球类比赛的人数少20%．参加球类比赛的有多少人？	48/(1-20%)=60.0	{育红小学, 六年级, 田径比赛, 48人, 少20%, 球类比赛}
学校修建一座教学楼，实际投资186万元，比计划投资节省了14万元，则节约了百分之几？	14/(186+14)=0.07	{学校, 修建, 教学楼, 实际投资, 186万元, 设计投资, 节省, 14万元, 百分之几}
筑路队修一条2000米长的路，第一天修了全路的(1/4)，第二天修了余下的(3/5)，还剩多少米没修？	2000-2000*(1/4)-2000*(1-(1/4))*(3/5)=600.0	{筑路队, 修, 2000米, 长, 路, 第一天, 第二天, 全路, (1/4), (3/5), 还剩, 没修}
一个长方体木块，长15cm，宽10cm，高8cm，把它削成最大的正方体，削去部分的体积=多少立方厘米？	15*10*8-8*8*8=688.0	{长方体木块, 长, 15cm, 宽, 10cm, 高, 8cm, 正方体, 削去部分, 体积}
长方形的长与宽的比是5：3，长是18厘米，宽=多少厘米．	18/5*3=10.8	{长方形, 长, 宽, 比, 5:3, 长, 18厘米, 宽}
小明数学考了85分，比语文少考(2/19)，比语文少考多少分？	85/(1-(2/19))-85=10.0	{小明, 数学, 考了, 85分, 语文, 少考, 2/19}
从72里连续减去多少个6，正好减完．	72/6=12.0	{连续, 减去, 多少个, 6, 正好, 减完}
某校5月份电话费240元，比4月份节约60元，节约了百分之几？	60/(240+60)=0.2	{5月份, 电话费, 240元, 比, 4月份, 节约, 60元, 百分之几}
晓红3天看完一本书，第一天看了全书的30%，第二天看了全书的(9/20)，第3天看了120页，这本书一共有多少页？	120/(1-(30%+(9/20)))=480.0	{晓红, 3天, 看完, 一本书, 第一天, 30%, 第二天, 9/20, 第3天, 120页, 这本书, 有多少页}
在一张长6厘米、宽3厘米的长方形纸上，可以画多少个边长为1厘米的正方形．	(6/1)*(3/1)=18.0	{长6厘米、宽3厘米、长方形纸、边长1厘米、正方形}
新华食品商场二月份营业额是240万元，缴纳了12万元的营业税，税率=？	12/240=0.05	{新华食品商场, 二月份, 营业额, 240万元, 缴纳, 12万元, 营业税, 税率}
一个数除以35的商是18，这个数除以7的商=．	35*18/7=90.0	{数, 除以, 35, 商, 18, 除以, 7, 商}
打字员小张要打360页稿子，原计划每天打60页，实际每天打90页，这样小张可以比原计划提前几天打完这份稿子？	360/60-360/90=2.0	{打字员, 小张, 360页, 稿子, 原计划, 每天, 打60页, 实际, 每天, 打90页, 提前,几天, 打完}
如果除数是31，商是12，余数是20，那么被除数=．	31*12+20=392.0	{除数, 31, 商, 12, 余数, 20, 被除数}
一根绳子对折2次后，每段长9.25米，这根绳子总长多少米．	9.25*(2*2)=37.0	{绳子, 对折, 2次, 段, 长, 9.25米, 总长, 米}
用一张长10厘米，宽5厘米的长方形纸，围成一个圆柱，这个圆柱体的侧面积=多少平方厘米．	10*5=50.0	{长方形纸, 长, 10厘米, 宽, 5厘米, 围成, 圆柱, 侧面积}
电视机在关机状态下也会悄悄消耗能量，只要没拔掉插头，每小时也会耗电约0.008千瓦时．如果小丽家电视机插头从来不拔，按每天待机20小时计算，她家一年在这一项上要多消耗多少电？（一年按365天计算）	0.008*20*365=58.4	{电视机, 关机状态, 消耗能量, 插头, 耗电, 0.008千瓦时, 小丽家, 待机, 20小时, 一年, 365天, 多消耗, 电}
“6•一”儿童节老师买奖品花了15.8元，还剩44.2元，老师带了多少元．	15.8+44.2=60.0	{“6•一”儿童节, 老师买奖品, 15.8元, 还剩, 44.2元, 老师带}
小华看一本书，每天看8页，看了5天，还剩24页，这本书共有多少页．	8*5+24=64.0	{小华, 看一本书, 每天看8页, 看了5天, 还剩24页, 这本书, 共有多少页}
师父和徒弟共同加工零件8小时．师父每小时加工56个，徒弟每小时加工28个，师徒两人一共加工多少个？	(56+28)*8=672.0	{师父, 徒弟, 加工, 零件, 8小时, 每小时, 56个, 28个, 一共, 加工, 多少个}
筑路队要修800米的公路，已修了240米，余下的要在8天内修完，平均每天应修多少米？	(800-240)/8=70.0	{筑路队, 修, 800米, 公路, 已修, 240米, 余下, 8天, 平均, 每天, 应修, 多少米}
甲、乙二人在一个长400米的环形跑道上从同一点，同时反向而行，甲每分钟走45米，乙每分钟走35米．多少分钟后两人第一次相遇？	400/(45+35)=5.0	{甲, 乙, 长度, 400米, 环形跑道, 同一点, 反向而行, 甲, 速度, 45米/分钟, 乙, 速度, 35米/分钟, 第一次相遇}
有一桶油，倒出(3/5)后，桶里还剩30升，这桶油原来有多少升？	30/(1-(3/5))=75.0	{油，桶，倒出，(3/5)，剩，30升，原来，升}
一张课桌的价格为72元，一把椅子的价格为28元，买这样的50套课桌椅需要多少钱？	(72+28)*50=5000.0	{课桌, 价格, 72元, 椅子, 28元, 买, 50套, 课桌椅}
菜市场运来一批西红柿，第一天卖出了总数的40%，第二天卖了1200千克，还剩600千克．这批西红柿共有多少千克？	(1200+600)/(1-40%)=3000.0	{菜市场, 运来, 一批, 西红柿, 第一天, 卖出, 总数, 40%, 第二天, 卖了, 1200千克, 还剩, 600千克, 共有}
一个学校去年六年级的学生人数是180人，今年比去年增加了(1/6)，这个学校今年六年级有学生多少人？	180*(1+(1/6))=210.0	{学校, 去年, 六年级, 学生, 人数, 180人, 今年, 增加, 1/6}
8台同样的织布机4小时织布960米，平均每台织布机每小时织布多少米？	960/4/8=30.0	{织布机, 8台, 同样, 4小时, 织布, 960米, 平均, 每台, 每小时, 多少米}
果园里有120棵梨树，桃树棵数是梨树的(5/6)，苹果树棵数比桃树少(2/5)，苹果树比桃树少多少棵？	120*(5/6)*(2/5)=40.0	{果园, 120棵, 梨树, 桃树, 5/6, 苹果树, 2/5, 少, 棵}
一辆快车和一辆慢车同时从甲乙两地相向而行，3小时后，快车距乙地还有全程的(1/4)，慢车距甲地还有54千米，已知快车每小时比慢车多行5千米，甲乙两地相距多少千米？	(54-5*3)/(1/4)=156.0	{快车, 慢车, 甲乙两地, 相向而行, 3小时, 全程, 1/4, 54千米, 每小时, 5千米, 相距}
纺织公司有男职工106人，女职工比男职工的4倍少84人．女职工有多少人？	106*4-84=340.0	{纺织公司, 男职工, 106人, 女职工, 4倍, 少84人}
希望小学的操场上有150名学生在跳绳和打球．其中女生54名，如果有63名学生在跳绳，有42名男生在打球，那么至少有多少名女生在跳绳．	63-(150-54-42)=9.0	{希望小学, 操场, 150名学生, 跳绳, 打球, 女生, 54名, 63名, 跳绳, 42名男生, 打球, 至少, 多少名女生, 跳绳}
商店运进男衬衫16箱，女衬衫18箱，每箱有25件，共运进衬衫多少件？	(16+18)*25=850.0	{商店运进, 男衬衫, 16箱, 女衬衫, 18箱, 每箱, 25件, 共运进, 衬衫, 多少件}
把一个圆锥体浸没在棱长10厘米盛有水的正方体容器里，水面上升2厘米，这个圆锥的体积=多少立方厘米．	10*10*2=200.0	{圆锥体, 浸没, 棱长, 10厘米, 正方体容器, 水, 水面上升, 2厘米, 体积}
126与234的和乘以1035/45的商，积=？	(126+234)*(1035/45)=8280.0	{和, 乘以, 积}
3个同学跳绳，小明跳了120个，小强跳的是小明跳的(4/5)，小亮跳的是小强跳的(2/3)．小亮跳了多少个？	120*(4/5)*(2/3)=64.0	{同学, 跳绳, 小明, 120个, 小强, 4/5, 小亮, 2/3}
甲乙两桶油，甲有油10千克，如果从甲桶倒出(1/2)给乙桶，这时甲乙两桶的比是1：7，两桶原来有多少油？	10*(1-(1/2))+10*(1-(1/2))/1*7=40.0	{甲, 乙, 两桶油, 甲有油, 10千克, 倒出, (1/2), 给乙桶, 比是1：7, 两桶原来有多少油}
一个乘数是6，另一个乘数是7，积=．	6*7=42.0	{乘数, 6, 另一个乘数, 7, 积}
盒子里有12个大小相同的乒乓球，其中有5个黄色的，7个白色的，摸到白球的可能性=．	7/12=0.5833333333333334	{盒子, 12个, 大小相同, 乒乓球, 5个, 黄色, 7个, 白色, 摸到, 白球, 可能性}
一个数连续减去265，减14次以后得数为100，这个数=．	265*14+100=3810.0	{数, 连续减去, 265, 减, 14, 次, 得数, 100}
某粮食仓库上午运出大米380袋，下午运出560袋，如果每袋大米重50千克．这一天一共运出大米多少千克？	(380+560)*50=47000.0	{粮食仓库, 上午, 运出, 大米, 380袋, 下午, 560袋, 每袋, 50千克, 一共, 运出}
在计算3000-（2600-125*8）时，先算括号里面的多少法，再算括号里的多少法，最后算多少法，结果=．	3000-(2600-125*8)=1400.0	{计算, 3000, 减, 括号, 2600, 减, 125, 乘, 8, 先算, 括号里, 多少法, 再算, 括号里, 多少法, 最后算, 结果}
甲每小时行11千米，乙每小时行13千米，甲从南庄向南行，同时乙从北庄向北行．经过3小时后，两人相隔80千米．南北两庄相距多少千米？	80-(11+13)*3=8.0	{甲, 每小时, 11千米, 乙, 每小时, 13千米, 南庄, 南行, 北庄, 北行, 经过, 3小时, 相隔, 80千米, 南北, 两庄, 相距}
我班64位同学都参加了“人生意外保险”每人保险费金额为6000元，保险费率为0.3%．课外活动时，小孟不小心手腕骨折，保险公司调查后酌情赔偿了1280元，这样，保险公司将我班收取的保费全部给了小明后，还要贴补多少元？	1280-6000*0.3%*64=128.0	{我班, 64位同学, 人生意外保险, 每人保险费, 6000元, 保险费率, 0.3%, 课外活动, 小孟, 手腕骨折, 保险公司, 调查, 赔偿, 1280元, 保费, 小明, 贴补}
利民小学在“献爱心”捐款活动中，三年级捐款32元，四年级捐43元，五年级捐款的元数是3、四年级捐款总数的2倍，五年级捐款多少元？	(32+43)*2=150.0	{利民小学, “献爱心”, 捐款活动, 三年级, 32元, 四年级, 43元, 五年级, 3, 四年级, 捐款总数, 2倍}
计算：（12345+23451+34512+45123+51234）/（1+2+3+4+5）=．	(12345+23451+34512+45123+51234)/(1+2+3+4+5)=11111.0	{计算：{12345, 23451, 34512, 45123, 51234}, +, /, {1, 2, 3, 4, 5}, =}
水果店第一天运回苹果600箱，第二天运的是第一天的(3/4)还多15箱，两天共运回苹果多少箱？	600+(600*(3/4)+15)=1065.0	{水果店, 第一天, 运回, 苹果, 600箱, 第二天, 第一天, (3/4), 多15箱, 两天, 共运回}
3（2）班买了3个一样的排球，付给售货员100元，找回13元，每个排球多少元？	(100-13)/3=29.0	{3（2）班, 买了, 3个, 一样, 排球, 付给, 售货员, 100元, 找回, 13元, 每个}
五年级师生向希望小学捐书150本，六年级比五年级多捐(2/15)．六年级师生捐书多少本？	150*(1+(2/15))=170.0	{五年级, 师生, 捐书, 150本, 六年级, 比, 多捐, 2/15, 希望小学}
青草晒干后质量会减少(2/5)，96吨青草晒干后的质量将=多少吨．	96*(1-(2/5))=57.6	{青草, 晒干, 质量减少, 2/5, 96吨, 质量}
水果店运来苹果96筐，运来梨的筐数是苹果的(1/4)，又是桔子筐数的(2/3)．运来桔子多少筐？	96*(1/4)/(2/3)=36.0	{水果店, 运来, 苹果, 96筐, 梨, 筐数, 1/4, 桔子, 2/3, 运来桔子}
有一台电视，原价1200元，降了300元，价格降了百分之几？	300/1200=0.25	{电视, 原价, 1200元, 降了, 300元, 价格, 降低了, 百分之几}
星期天，小明的爸爸在河里钓了一条鲫鱼和一条鲤鱼，一共重2千克，其中鲤鱼重(3/2)千克，鲫鱼比鲤鱼轻多少千克？	(3/2)-(2-(3/2))=1.0	{星期天，小明，爸爸，河里，钓，鲫鱼，鲤鱼，一共，重，2千克，其中，(3/2)千克，比，轻，多少千克}
希望小学一年级有学生120人，比二年级学生数少(1/4)，二年级有学生多少人？	120/(1-(1/4))=160.0	{希望, 小学, 一年级, 学生, 120人, 比, 二年级, 学生数, 少, 1/4, 多少人}
一本书120页，已读过它的25%，再读时应从多少页读起．	120*25%+1=31.0	{一本书, 120页, 25%, 从多少页读起}
榆树和夹竹桃对空气中的尘埃都有过滤作用．每平方米榆树叶能吸附灰尘12.8克，是夹竹桃叶片的1.6倍．每平方米夹竹桃叶片能吸附灰尘多少克？	12.8/1.6=8.0	{榆树, 夹竹桃, 空气, 尘埃, 过滤作用, 每平方米, 榆树叶, 吸附, 灰尘, 12.8克, 1.6倍, 夹竹桃叶片}
